name,be,det,target,prep,state,pro,like,activity,question1,answer1,question2,answer2,gender,lexeme,orthog,condition,id
NAME,is,an,actor,from,New Hampshire.,She,likes,reading.,Does NAME like reading?,Yes,Is NAME from New Hampshire?,Yes,female,actor,actress,neutral_female,actor_neutral_female
NAME,is,an,actress,from,New Hampshire.,She,likes,reading.,Does NAME like reading?,Yes,Is NAME from California?,No,female,actor,actress,congruent_female,actor_congruent_female
NAME,is,an,actor,from,New Hampshire.,He,likes,reading.,Does NAME like reading?,Yes,Is NAME from California?,No,male,actor,actor,neutral_male,_neutral_male
NAME,is,an,actor,from,New Hampshire.,He,likes,reading.,Does NAME like reading?,Yes,Is NAME from California?,No,male,actor,actor,congruent_male,actor_congruent_male
NAME,is,an,anchor,from,Florida.,She,likes,swimming.,Does NAME like swimming?,Yes,Is NAME from Rhode Island?,No,female,anchor,anchorwoman,neutral_female,anchor_neutral_female
NAME,is,an,anchorwoman,from,Florida.,She,likes,swimming.,Does NAME like swimming?,Yes,Is NAME from Rhode Island?,No,female,anchor,anchorwoman,congruent_female,anchor_congruent_female
NAME,is,an,anchor,from,Florida.,He,likes,swimming.,Does NAME like swimming?,Yes,Is NAME from Rhode Island?,No,male,anchor,anchorman,neutral_male,_neutral_male
NAME,is,an,anchorman,from,Florida.,He,likes,swimming.,Does NAME like swimming?,Yes,Is NAME from Rhode Island?,No,male,anchor,anchorman,congruent_male,anchor_congruent_male
NAME,is,a,flight attendant,from,Tennessee.,She,likes,hiking.,Does NAME like walking?,No,Is NAME from Tennessee?,Yes,female,flight attendant,stewardess,neutral_female,flight attendant_neutral_female
NAME,is,a,stewardess,from,Tennessee.,She,likes,hiking.,Does NAME like hiking?,Yes,Is NAME from Missouri?,No,female,flight attendant,stewardess,congruent_female,flight attendant_congruent_female
NAME,is,a,flight attendant,from,Tennessee.,He,likes,hiking.,Does NAME like hiking?,Yes,Is NAME from Missouri?,No,male,flight attendant,steward,neutral_male,_neutral_male
NAME,is,a,steward,from,Tennessee.,He,likes,hiking.,Does NAME like hiking?,Yes,Is NAME from Missouri?,No,male,flight attendant,steward,congruent_male,flight attendant_congruent_male
NAME,is,a,businessperson,from,South Dakota.,She,likes,reading.,Does NAME like reading?,Yes,Is NAME from Virginia?,No,female,businessperson,businesswoman,neutral_female,businessperson_neutral_female
NAME,is,a,businesswoman,from,South Dakota.,She,likes,reading.,Does NAME like reading?,Yes,Is NAME from Virginia?,No,female,businessperson,businesswoman,congruent_female,businessperson_congruent_female
