name_m,is_m,det_m,lexeme_m,from_m,state_m,pro_m,likes_m,activity_m,name_m2,is_m2,det_m2,lexeme_m2,from_m2,state_m2,pro_m2,likes_m2,activity_m2,name,be,det,target,prep,state,pro,like,activity,question1,answer1,question2,answer2,gender,lexeme,orthog,condition,id
Jane,is,an,actor,from,Wisconsin.,She,likes,studying.,x-x-x,sale,ago,decade,cent,Objective.,x-x-x,kinds,cylinder.,,,,,,,,,,,,,,,,,,
Jane,is,an,actress,from,Wisconsin.,She,likes,studying.,x-x-x,sale,ago,decade,cent,Objective.,x-x-x,kinds,cylinder.,,,,,,,,,,,,,,,,,,
John,is,an,actor,from,Wisconsin.He,likes,studying.,x-x-x,sale,ago,decade,cent,Objective.,x-x-x,kinds,cylinder.,,,,,,,,,,,,,,,,,,,
John,is,an,actor,from,Wisconsin.,She,likes,studying.x-x-x,sale,ago,decade,cent,Objective.,x-x-x,kinds,cylinder.,,,,,,,,,,,,,,,,,,,
Jane,is,an,anchor,from,Nevada.,She,likes,writing.x-x-x,hell,ago,pleaded,hear,Forbid.,x-x-x,smell,century.,,,,,,,,,,,,,,,,,,,
Jane,is,an,anchorwoman,from,Nevada.,She,likes,writing.x-x-x,hell,ago,pleaded,hear,Forbid.,x-x-x,smell,century.,,,,,,,,,,,,,,,,,,,
John,is,an,anchor,from,Nevada.,He,likes,writing.x-x-x,hell,ago,pleaded,hear,Forbid.,x-x-x,smell,century.,,,,,,,,,,,,,,,,,,,
John,is,an,anchorman,from,Nevada.,She,likes,writing.x-x-x,hell,ago,pleaded,hear,Forbid.,x-x-x,smell,century.,,,,,,,,,,,,,,,,,,,
Jane,is,a,flight attendant,from,South Carolina.,She,likes,surfing.x-x-x,sale,ago,grenades,versa,apply,Profit Worth.,x-x-x,defects,spoiler.,,,,,,,,,,,,,,,,,,
Jane,is,a,stewardess,from,South Carolina.,She,likes,surfing.x-x-x,sale,ago,grenades,versa,Apply Profit.,x-x-x,funny,defects.,,,,,,,,,,,,,,,,,,,
John,is,a,flight attendant,from,South Carolina.,He,likes,surfing.x-x-x,sale,ago,grenades,versa,apply,Profit Worth.,x-x-x,defects,spoiler.,,,,,,,,,,,,,,,,,,
John,is,a,steward,from,South Carolina.,She,likes,surfing.x-x-x,sale,ago,grenades,versa,Apply Profit.,x-x-x,funny,defects.,,,,,,,,,,,,,,,,,,,
Jane,is,a,businessperson,from,Hawaii.,She,likes,surfing.x-x-x,vote,cent,materialise,lots,Yields.,x-x-x,worse,impacts.,,,,,,,,,,,,,,,,,,,
Jane,is,a,businesswoman,from,Hawaii.,She,likes,surfing.x-x-x,vote,cent,materialise,lots,Yields.,x-x-x,worse,impacts.,,,,,,,,,,,,,,,,,,,
John,is,a,businessperson,from,Hawaii.,He,likes,surfing.x-x-x,vote,cent,materialise,lots,Yields.,x-x-x,worse,impacts.,,,,,,,,,,,,,,,,,,,
John,is,a,businessman,from,Hawaii.,She,likes,surfing.x-x-x,vote,cent,materialise,lots,Yields.,x-x-x,worse,impacts.,,,,,,,,,,,,,,,,,,,
Jane,is,a,camera operator,from,New Mexico.,She,likes,camping.x-x-x,sale,bag,staves,finals,add,Forget Lack.,x-x-x,wounds,bracket.,,,,,,,,,,,,,,,,,,
Jane,is,a,camerawoman,from,New Mexico.,She,likes,camping.x-x-x,sale,bag,staves,finals,Add Forget.,x-x-x,else,wounds.,,,,,,,,,,,,,,,,,,,
John,is,a,camera operator,from,New Mexico.,He,likes,camping.x-x-x,sale,bag,staves,finals,add,Forget Lack.,x-x-x,wounds,bracket.,,,,,,,,,,,,,,,,,,
John,is,a,cameraman,from,New Mexico.,She,likes,camping.x-x-x,sale,bag,staves,finals,Add Forget.,x-x-x,else,wounds.,,,,,,,,,,,,,,,,,,,
Jane,is,a,congressperson,from,Vermont.,She,likes,surfing.x-x-x,sale,ago,orthography,lose,Pathway.,x-x-x,smell,chaired.,,,,,,,,,,,,,,,,,,,
Jane,is,a,congresswoman,from,Vermont.,She,likes,surfing.x-x-x,sale,ago,orthography,lose,Pathway.,x-x-x,smell,chaired.,,,,,,,,,,,,,,,,,,,
John,is,a,congressperson,from,Vermont.,He,likes,surfing.x-x-x,sale,ago,orthography,lose,Pathway.,x-x-x,smell,chaired.,,,,,,,,,,,,,,,,,,,
John,is,a,congressman,from,Vermont.,She,likes,surfing.x-x-x,sale,ago,orthography,lose,Pathway.,x-x-x,smell,chaired.,,,,,,,,,,,,,,,,,,,
Jane,is,a,craftsperson,from,Montana.,She,likes,hiking.x-x-x,cash,etc,concourses,hear,Appoint.,x-x-x,worse,lodged.,,,,,,,,,,,,,,,,,,,
Jane,is,a,craftswoman,from,Montana.,She,likes,hiking.x-x-x,cash,etc,concourses,hear,Appoint.,x-x-x,worse,lodged.,,,,,,,,,,,,,,,,,,,
John,is,a,craftsperson,from,Montana.,He,likes,hiking.x-x-x,cash,etc,concourses,hear,Appoint.,x-x-x,worse,lodged.,,,,,,,,,,,,,,,,,,,
John,is,a,craftsman,from,Montana.,She,likes,hiking.x-x-x,cash,etc,concourses,hear,Appoint.,x-x-x,worse,lodged.,,,,,,,,,,,,,,,,,,,
Jane,is,a,crewmember,from,Utah.,She,likes,painting.x-x-x,okay,cent,steppes,lots,Void.,x-x-x,worse,contents.,,,,,,,,,,,,,,,,,,,
Jane,is,a,crewwoman,from,Utah.,She,likes,painting.x-x-x,okay,cent,steppes,lots,Void.,x-x-x,worse,contents.,,,,,,,,,,,,,,,,,,,
John,is,a,crewmember,from,Utah.,He,likes,painting.x-x-x,okay,cent,steppes,lots,Void.,x-x-x,worse,contents.,,,,,,,,,,,,,,,,,,,
John,is,a,crewman,from,Utah.,She,likes,painting.x-x-x,okay,cent,steppes,lots,Void.,x-x-x,worse,contents.,,,,,,,,,,,,,,,,,,,
Jane,is,a,firefighter,from,Kentucky.,She,likes,drawing.x-x-x,sale,cent,exiting,lots,Comeback.,x-x-x,worse,billion.,,,,,,,,,,,,,,,,,,,
Jane,is,a,firewoman,from,Kentucky.,She,likes,drawing.x-x-x,sale,cent,exiting,lots,Comeback.,x-x-x,worse,billion.,,,,,,,,,,,,,,,,,,,
John,is,a,firefighter,from,Kentucky.,He,likes,drawing.x-x-x,sale,cent,exiting,lots,Comeback.,x-x-x,worse,billion.,,,,,,,,,,,,,,,,,,,
John,is,a,fireman,from,Kentucky.,She,likes,drawing.x-x-x,sale,cent,exiting,lots,Comeback.,x-x-x,worse,billion.,,,,,,,,,,,,,,,,,,,
